id,name,space_type,radius,period,ex,v,p,g,m,sputnik,atmosphere,about
0,Солнце,Звезда,0,0,0,0,1.4,274,333000,0,"Состоит в основом из водорода и гелия.","Солнце – звезда класса ""Желтый Карлик"" (G), одна из сотен миллиардов звёзд галактики Млечный путь. Температура на поверхности составляет около 600°C, а тепло создаётся за счёт постоянных термоядерных реакций. На самом деле излучает белый цвет."
1,Меркурий,Планета,0.39,0.24,0.206,47.9,5.5,3.7,0.06,0,"Состоит из гелия, плотность у поверхности примерно равна плотности земной атмосферы на высоте 200 км.","Температура днём более 350°C, а ночью менее -170°C. Покрыта метеоритными кратерами, похожа на лунную поверхность. Сильно вытянутая эллиптическая орбита."
2,Венера,Планета,0.72,0.61,0.007,35,5.2,8.9,0.82,0,"Состоит в основном из углекислого газа с небольшим количеством азота и паров воды.","Атмосферное давление Венеры значительно больше атмосферного давления Земли. Температура поверхности равна 480°C. Плотные облака Венеры состоят из капель серной кислоты. На планете нет жидкой воды, морей и океанов. Вокруг собственной оси в отличие от остальных планет вращается с Востока на Запад."
3,Земля,Планета,1,1,0.017,29.8,5.5,9.8,1,1,"Состоит из азота, кислорода, углекислого газа, аргона, небольшого количества гелия, неона, ксенона, криптона, озона и других газов.","Единственная известная планета, населённая живыми организмами. Вода занимает 70% поверхности. Средняя температура равна 7.2°C с большими отклонениями в различных частях планеты. Обладает единственным спутником (Луна)."
4,Марс,Планета,1.52,1.88,0.093,24.1,3.9,3.7,0.11,2,"Состоит в основном из углекислого газа с небольшим количеством азота, аргона, кислорода и паров воды.","Марс является холодным, потому что не имеет атмосферы для сохранения высокой температуры. Так как у Марса эллиптическая орбита, то в течение года его температура может отклоняться от нормы на 30°C в северных и южных полушариях. Минимальная температура на Марсе приблизительно равна -140°C, а максимальная – около 20°C."
5,Юпитер,Планета,5.2,11.86,0.048,13.1,1.3,25.8,318,79,"Состоит в основном из молекулярного водорода и гелия. Имеются примеси метана, аммиака, фосфина, этана и других газов.","У Юпитера нет твёрдой поверхности, так как он – Газовый гигант. Над облаками Юпитера температура около -145°C, и ближе к центру она увеличивается. Ядро Юпитера горячее поверхности Солнца."
6,Сатурн,Планета,9.54,29.46,0.054,9.6,0.7,11.3,95.2,82,"Состоит в основном из молекулярного водорода и гелия. Имеются примеси метана, аммиака, фосфина, этана и других газов.","Сатурн фактически сам генерирует тепло, вырабатывая в 2,5 раза больше энергии, чем получает от Солнца. Температура в верхних слоях атмосферы приблизительно равна -175°C и также увеличивается с приближением к центру."
7,Уран,Планета,19.19,84.02,0.046,6.8,1.4,9,14.6,27,"Состоит в основном из водорода и гелия. На больших глубинах есть вода, аммиак и метан.","Уран – это планета с самой низкой зарегистрированной температурой -224°C. Причиной такому значению является не только значительное расстояние от Солнца. Ядро Урана имеет температуру 4737°C, что равно только одной пятой температуры ядра Юпитера."
8,Нептун,Планета,30.07,164.78,0.008,5.4,1.6,11.6,17.2,14,"Состоит в основном из водорода и гелия. Наблюдаются следы углеводородов и азота, высокая доля водных, аммиачных и метановых льдов.","С температурами, доходящими до -218°C в верхней атмосфере Нептуна, эта планета также является одной из самых холодных. Как и у других газовых гигантов, Нептун имеет намного более горячее ядро с температурой 7000°C."
9,Плутон,Карликовая планета,39.52,247.7,0.253,4.7,2,0.6,0.002,5,"Koгдa Плутoн пpиближaeтcя к Coлнцу, тo пoвepxнocтный лeд нaчинaeт тaять и фopмиpуeт тoнкий aтмocфepный cлoй. Oн пpeдcтaвлeн aзoтoм и мeтaнoвoй дымкoй c выcoтoй в 161 км.","Плутoн oблaдaeт кaмeнным ядpoм и лeдянoй мaнтиeй. Cocтaв пoвepxнocтнoгo cлoя нa 98% пpeдcтaвлeн aзoтным льдoм c нeбoльшим oбъeмoм мeтaнa и oкиcи углepoдa. Объeкт тaкoй xoлoдный, чтo aтмocфepa зacтывaeт и пaдaeт нa пoвepxнocть. Cpeдний тeмпepaтуpный пoкaзaтeль дocтигaeт -229°C."
